   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   90     179.774002     -37.466000      42.000000     3.074   278.683    90.000   180.000     8.683    90.000     0.000      0.00     30.00    1
   91     179.754654     -37.508331      42.000000     3.203   277.499    90.000   180.000     7.499    90.000     0.000      5.00     30.00    1
   92     179.735306     -37.550659      42.000000     3.214   276.495    90.000   180.000     6.495    90.000     0.000     10.00     30.00    1
   93     179.715912     -37.592991      42.000000     3.068   275.582    90.000   180.000     5.582    90.000     0.000     15.00     30.00    1
   94     179.696503     -37.635311      42.000000     2.759   274.727    90.000   180.000     4.727    90.000     0.000     20.00     30.00    1
   95     179.677078     -37.677631      42.000000     2.303   273.987    90.000   180.000     3.987    90.000     0.000     25.00     30.00    1
   96     179.657623     -37.719940      42.000000     1.757   274.013    90.000   180.000     4.013    90.000     0.000     30.00     30.00    1
   97     179.638153     -37.762249      42.000000     1.160   272.734    90.000   180.000     2.734    90.000     0.000     35.00     30.00    1
   98     179.618668     -37.804562      42.000000     0.568   271.740    90.000   180.000     1.740    90.000     0.000     40.00     30.00    1
   99     179.870377     -37.254292      32.000000     0.713   276.111    90.000   180.000     6.111    90.000     0.000    -25.00     40.00    1
  100     179.851135     -37.296638      32.000000     1.360   276.900    90.000   180.000     6.900    90.000     0.000    -20.00     40.00    1
  101     179.831894     -37.338982      32.000000     1.915   275.652    90.000   180.000     5.652    90.000     0.000    -15.00     40.00    1
  102     179.812607     -37.381321      32.000000     2.396   274.745    90.000   180.000     4.745    90.000     0.000    -10.00     40.00    1
  103     179.793320     -37.423660      32.000000     2.793   274.096    90.000   180.000     4.096    90.000     0.000     -5.00     40.00    1
  104     179.774002     -37.466000      32.000000     3.084   273.714    90.000   180.000     3.714    90.000     0.000      0.00     40.00    1
  105     179.754654     -37.508331      32.000000     3.241   273.469    90.000   180.000     3.469    90.000     0.000      5.00     40.00    1
  106     179.735306     -37.550659      32.000000     3.244   273.378    90.000   180.000     3.378    90.000     0.000     10.00     40.00    1
  107     179.715912     -37.592991      32.000000     3.092   273.678    90.000   180.000     3.678    90.000     0.000     15.00     40.00    1
  108     179.696503     -37.635311      32.000000     2.796   274.399    90.000   180.000     4.399    90.000     0.000     20.00     40.00    1
  109     179.677078     -37.677631      32.000000     2.398   274.891    90.000   180.000     4.891    90.000     0.000     25.00     40.00    1
  110     179.657623     -37.719940      32.000000     1.911   274.907    90.000   180.000     4.907    90.000     0.000     30.00     40.00    1
  111     179.638153     -37.762249      32.000000     1.331   274.436    90.000   180.000     4.436    90.000     0.000     35.00     40.00    1
  112     179.618668     -37.804562      32.000000     0.684   274.658    90.000   180.000     4.658    90.000     0.000     40.00     40.00    1
  113     179.870377     -37.254292      22.000000     0.476   272.072    90.000   180.000     2.072    90.000     0.000    -25.00     50.00    1
  114     179.851135     -37.296638      22.000000     0.932   273.766    90.000   180.000     3.766    90.000     0.000    -20.00     50.00    1
  115     179.831894     -37.338982      22.000000     1.318   273.018    90.000   180.000     3.018    90.000     0.000    -15.00     50.00    1
  116     179.812607     -37.381321      22.000000     1.651   272.055    90.000   180.000     2.055    90.000     0.000    -10.00     50.00    1
  117     179.793320     -37.423660      22.000000     1.929   271.257    90.000   180.000     1.257    90.000     0.000     -5.00     50.00    1
  118     179.774002     -37.466000      22.000000     2.145   270.505    90.000   180.000     0.505    90.000     0.000      0.00     50.00    1
  119     179.754654     -37.508331      22.000000     2.278   270.102    90.000   180.000     0.102    90.000     0.000      5.00     50.00    1
  120     179.735306     -37.550659      22.000000     2.311   270.205    90.000   180.000     0.205    90.000     0.000     10.00     50.00    1
  121     179.715912     -37.592991      22.000000     2.233   270.702    90.000   180.000     0.702    90.000     0.000     15.00     50.00    1
  122     179.696503     -37.635311      22.000000     2.042   271.770    90.000   180.000     1.770    90.000     0.000     20.00     50.00    1
  123     179.677078     -37.677631      22.000000     1.764   273.239    90.000   180.000     3.239    90.000     0.000     25.00     50.00    1
  124     179.657623     -37.719940      22.000000     1.415   274.361    90.000   180.000     4.361    90.000     0.000     30.00     50.00    1
  125     179.638153     -37.762249      22.000000     0.976   275.198    90.000   180.000     5.198    90.000     0.000     35.00     50.00    1
  126     179.618668     -37.804562      22.000000     0.480   273.616    90.000   180.000     3.616    90.000     0.000     40.00     50.00    1
